epoch,accuracy,loss,lr
0,0.2665024399757385,2.5355920791625977,0.001
1,0.33818167448043823,2.2929909229278564,0.001
2,0.38112521171569824,2.1579489707946777,0.001
3,0.40614941716194153,2.0775177478790283,0.001
4,0.4224703013896942,2.0239944458007812,0.001
5,0.43472787737846375,1.9842230081558228,0.001
6,0.4445256292819977,1.952061414718628,0.001
7,0.4537196159362793,1.9231761693954468,0.001
8,0.46092137694358826,1.8983399868011475,0.001
9,0.46725574135780334,1.8766512870788574,0.001
10,0.47224152088165283,1.8588844537734985,0.001
11,0.4767930805683136,1.8435676097869873,0.001
12,0.4804824888706207,1.8301787376403809,0.001
13,0.48359259963035583,1.818254828453064,0.001
14,0.4862498939037323,1.8073467016220093,0.001
15,0.4886065125465393,1.7975624799728394,0.001
16,0.4909546375274658,1.7884644269943237,0.001
17,0.4931016266345978,1.780214548110962,0.001
18,0.4948166310787201,1.7725906372070312,0.001
19,0.4967036247253418,1.7656761407852173,0.001
20,0.49835005402565,1.7591294050216675,0.001
21,0.499576210975647,1.7541567087173462,0.001
22,0.5001375079154968,1.7523664236068726,0.001
23,0.5026782155036926,1.7429078817367554,0.001
24,0.5034984946250916,1.7396985292434692,0.001
25,0.5047667622566223,1.7344001531600952,0.001
26,0.5027332901954651,1.7409075498580933,0.001
27,0.5062494874000549,1.7283635139465332,0.001
28,0.5072953701019287,1.7235907316207886,0.001
29,0.5086649656295776,1.7190241813659668,0.001
